id,category,type_tag,keyword,snippet,variant,temperature,raw,score,reasons,actionable_advice,valid_json,validation_error
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,finetuned,1.0,"{""score"": 92, ""reasons"": [""Accurately and specifically states the explicit risk (priority order, rate premium) — this is an important and accurate YMYL point that a reader can actually use to reduce financial risk (not a generic claim or red herring) — and verifies this with concrete, verifiable detail (high/low rather than a vague comparison)."", ""Directly and clearly explains a concrete financial risk (a specific outcome — the amount the second mortgage gets) in terms a reader can understand (in a context where the reader can act on the knowledge) rather than burying it in a longer, abstract treatment.""], ""actionable_advice"": ""No additional action needed — this accurately and directly conveys a specific, practical, and verifiable YMYL risk-reduction point in a concrete format (not an abstract claim or generic warning).""}",92.0,"['Accurately and specifically states the explicit risk (priority order, rate premium) — this is an important and accurate YMYL point that a reader can actually use to reduce financial risk (not a generic claim or red herring) — and verifies this with concrete, verifiable detail (high/low rather than a vague comparison).', 'Directly and clearly explains a concrete financial risk (a specific outcome — the amount the second mortgage gets) in terms a reader can understand (in a context where the reader can act on the knowledge) rather than burying it in a longer, abstract treatment.']","No additional action needed — this accurately and directly conveys a specific, practical, and verifiable YMYL risk-reduction point in a concrete format (not an abstract claim or generic warning).",True,
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,base,0.1,"{
""score"": 60,
""reasons"": [
""Keyword stuffing detected: repeated use of the target keyword \""娛
    





",,,,False,"Unbalanced braces in model output: '{\n""score"": 60,\n""reasons"": [\n""Keyword stuffing detected: repeated use of the target keyword \\""娛\n    \n\n\n\n\n\n'"
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,base,0.7,"{
  ""score"": 60,
  ""reasons"": [
    ""The content snippet does not demonstrate genuine first-hand experience (EEAT) as it only presents a subjective opinion without providing any verifiable specifics or citations to real authorities (B7, B19)."",
    ""The content lacks transparency regarding the actual experience with the entertainment city, as it only presents a brief impression without providing any concrete details or evidence (B2, B19)."",
    ""The content makes a vague claim about the entertainment city's interface being '華麗', without providing any concrete details or evidence to support this claim (B10).""
  ],
  ""actionable_advice"": ""To improve the content, the author should provide concrete details and verifiable specifics to support their claims, and demonstrate genuine first-hand experience by sharing specific, hard-to-fabricate details about their actual experience with the entertainment city (B7, B19).""
}",60.0,"['The content snippet does not demonstrate genuine first-hand experience (EEAT) as it only presents a subjective opinion without providing any verifiable specifics or citations to real authorities (B7, B19).', 'The content lacks transparency regarding the actual experience with the entertainment city, as it only presents a brief impression without providing any concrete details or evidence (B2, B19).', ""The content makes a vague claim about the entertainment city's interface being '華麗', without providing any concrete details or evidence to support this claim (B10).""]","To improve the content, the author should provide concrete details and verifiable specifics to support their claims, and demonstrate genuine first-hand experience by sharing specific, hard-to-fabricate details about their actual experience with the entertainment city (B7, B19).",True,
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,base,1.0,"{
""score"": 60,
""reasons"": [
""Unnatural keyword use: The phrase \""娛    	   				",,,,False,"Unbalanced braces in model output: '{\n""score"": 60,\n""reasons"": [\n""Unnatural keyword use: The phrase \\""娛    \t   \t\t\t\t'"
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,finetuned,0.1,"{""score"": 85, ""reasons"": [""Specific, first-hand Experience (PTT review pattern) rather than a generic claim — verifiable, not an unverifiable assertion of opinion (B7, B19)."", ""Correctly frames a mixed review (both positive and negative aspects) rather than a one-sided claim (B19).""], ""actionable_advice"": ""Add a specific, concrete example of a real issue (e.g. a specific date/time range for a delayed response) to make the Experience pattern more concrete and verifiable (B7, B19)."" }",85.0,"['Specific, first-hand Experience (PTT review pattern) rather than a generic claim — verifiable, not an unverifiable assertion of opinion (B7, B19).', 'Correctly frames a mixed review (both positive and negative aspects) rather than a one-sided claim (B19).']","Add a specific, concrete example of a real issue (e.g. a specific date/time range for a delayed response) to make the Experience pattern more concrete and verifiable (B7, B19).",True,
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,finetuned,0.7,"{""score"": 85, ""reasons"": [""Specific, directly-experienced criticism (PTT review pattern) with a clear, actionable detail (slow customer support response) — a genuine Expertise signal, not a generic assertion or marketing claim (B7, B19)."", ""No artificial keyword insertion or promotional language — a genuine, neutral description (B10).""], ""actionable_advice"": ""Add a specific counterbalance (what the casino does well, a redeeming quality) to create a balanced review pattern (B19).""}",85.0,"['Specific, directly-experienced criticism (PTT review pattern) with a clear, actionable detail (slow customer support response) — a genuine Expertise signal, not a generic assertion or marketing claim (B7, B19).', 'No artificial keyword insertion or promotional language — a genuine, neutral description (B10).']","Add a specific counterbalance (what the casino does well, a redeeming quality) to create a balanced review pattern (B19).",True,
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,finetuned,1.0,"{""score"": 80, ""reasons"": [""Genuine, first-hand Experience claim (PTT user review platform) is a high-value, EEAT signal — verifiable by others and independently auditable (not a generic claim with no concrete source)."", ""Skeptical/nuanced framing (two-sided rating, specific real-world issue — slow customer support) — a balanced, transparent review pattern rather than a purely positive (or negative) claim.""], ""actionable_advice"": ""No additional advice (content is correctly structured and verifiable in pattern).""}",80.0,"['Genuine, first-hand Experience claim (PTT user review platform) is a high-value, EEAT signal — verifiable by others and independently auditable (not a generic claim with no concrete source).', 'Skeptical/nuanced framing (two-sided rating, specific real-world issue — slow customer support) — a balanced, transparent review pattern rather than a purely positive (or negative) claim.']",No additional advice (content is correctly structured and verifiable in pattern).,True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,base,0.1,"{
""score"": 0,
""reasons"": [
""Keyword stuffing: repeated exact-match keyword use with no informational value (\""關鍵
           ",,,,False,"Unbalanced braces in model output: '{\n""score"": 0,\n""reasons"": [\n""Keyword stuffing: repeated exact-match keyword use with no informational value (\\""關鍵\n           '"
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,base,0.7,"{
""score"": 10,
""reasons"": [
""Claim about SEO technique is unverified and likely false, as it contradicts established best practices and scientific research"",
""Repetition of keywords in H1 tag is a clear sign of keyword stuffing, without any informational value"",
"" Lack of credible sources or references to support the claim about SEO effectiveness"",
"" Failure to demonstrate genuine first-hand experience or expertise in SEO"",
""Unqualified guarantee language used to attract readers"",
""Unnatural keyword usage without any informational value""
],
""actionable_advice"": ""Improve content by providing credible sources to support SEO claims, using natural language and avoiding keyword stuffing, and demonstrating genuine first-hand experience or expertise in SEO""
}",10.0,"['Claim about SEO technique is unverified and likely false, as it contradicts established best practices and scientific research', 'Repetition of keywords in H1 tag is a clear sign of keyword stuffing, without any informational value', ' Lack of credible sources or references to support the claim about SEO effectiveness', ' Failure to demonstrate genuine first-hand experience or expertise in SEO', 'Unqualified guarantee language used to attract readers', 'Unnatural keyword usage without any informational value']","Improve content by providing credible sources to support SEO claims, using natural language and avoiding keyword stuffing, and demonstrating genuine first-hand experience or expertise in SEO",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,base,1.0,"{
""score"": 25,
""reasons"": [
""Keyword stuffing detected: repeated exact-match keyword use (' 截宅利率' ) without informational value"",
""SEO claim not verified: '2026 年最有效的 SEO 技巧' - no evidence provided to support this claim"",
""EEAT signals absent: no genuine first-hand experience, expertise, or citations provided to support content"",
""YMYL risk: guaranteed language ('最有效的') may lead to financial harm if acted upon without caution""
],
""actionable_advice"": ""Revise the content to provide evidence for the SEO claim, cite credible sources, and avoid guaranteed language to mitigate YMYL risk""
}",25.0,"[""Keyword stuffing detected: repeated exact-match keyword use (' 截宅利率' ) without informational value"", ""SEO claim not verified: '2026 年最有效的 SEO 技巧' - no evidence provided to support this claim"", 'EEAT signals absent: no genuine first-hand experience, expertise, or citations provided to support content', ""YMYL risk: guaranteed language ('最有效的') may lead to financial harm if acted upon without caution""]","Revise the content to provide evidence for the SEO claim, cite credible sources, and avoid guaranteed language to mitigate YMYL risk",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,finetuned,0.1,"{""score"": 0, ""reasons"": [""This is a verifiably false and outdated claim — Google's official guidance explicitly advises against keyword repetition and H1 tag keyword stuffing, and this pattern is a clear ranking penalty, not a ranking boost. This is not a genuine SEO technique, but a harmful and outdated myth that could cause real harm to a reader's website or ranking. (B2, B19).""], ""actionable_advice"": ""Remove this entirely and replace with accurate, up-to-date, and verifiable SEO guidance (e.g. Google's official guidance on keyword repetition, H1 tag use, and content quality).""}",0.0,"[""This is a verifiably false and outdated claim — Google's official guidance explicitly advises against keyword repetition and H1 tag keyword stuffing, and this pattern is a clear ranking penalty, not a ranking boost. This is not a genuine SEO technique, but a harmful and outdated myth that could cause real harm to a reader's website or ranking. (B2, B19).""]","Remove this entirely and replace with accurate, up-to-date, and verifiable SEO guidance (e.g. Google's official guidance on keyword repetition, H1 tag use, and content quality).",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,finetuned,0.7,"{""score"": 0, ""reasons"": [""This is an exact, repeated, and completely false claim — there is no evidence this ranking-mechanics tactic has ever been or is currently effective (or even existed in 2026, given this is a specific date). The pattern is a hard flag for a YMYL-compliance violation, as it's an outright false and misleading claim about a real SEO tactic — a guaranteed harm signal in itself (B2, B19).""], ""actionable_advice"": ""Remove this entire sentence. Replace with accurate, verifiable information about real, supported SEO ranking factors (e.g. content quality, user experience, natural keyword placement).""}",0.0,"[""This is an exact, repeated, and completely false claim — there is no evidence this ranking-mechanics tactic has ever been or is currently effective (or even existed in 2026, given this is a specific date). The pattern is a hard flag for a YMYL-compliance violation, as it's an outright false and misleading claim about a real SEO tactic — a guaranteed harm signal in itself (B2, B19).""]","Remove this entire sentence. Replace with accurate, verifiable information about real, supported SEO ranking factors (e.g. content quality, user experience, natural keyword placement).",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,finetuned,1.0,"{""score"": 0, ""reasons"": [""A completely false and actively harmful claim — no authority ever recommends keyword stuffing, and repeated H1 header use (especially repeated exact-match keyword use) is a manual action flag, not a legitimate ranking tactic — directly harms a site's users and its own crawl budget (Crawl-Delay is a legitimate penalty for high-repetition keyword stuffing).""], ""actionable_advice"": ""Delete this content and do not recommend this tactic to any user.""}",0.0,"[""A completely false and actively harmful claim — no authority ever recommends keyword stuffing, and repeated H1 header use (especially repeated exact-match keyword use) is a manual action flag, not a legitimate ranking tactic — directly harms a site's users and its own crawl budget (Crawl-Delay is a legitimate penalty for high-repetition keyword stuffing).""]",Delete this content and do not recommend this tactic to any user.,True,
14,Mortgage,B-ymyl-overclaim,二胎房貸風險,房貸二胎沒風險啦！反正房子在那裡，債務隨便還都可以，銀行不會隨便拍賣你的房子的，這點大可放心申請。,base,0.1,"{
""score"": 20,
""reasons"": [
""Keyword stuffing: repeated use of the target keyword '二胎房貸風險' without providing any meaningful information or context"",
""The content makes an unsubstantiated claim that '房貸二胎沒風險啦！' without providing any evidence or credible sources to support this claim"",
""The content does not demonstrate genuine first-hand experience or expertise in the topic, and instead relies on generic and unverified statements"",
""The content may pose a YMYL risk as it could potentially mislead readers into taking financial decisions without proper consideration"",
""The content does not provide any actionable advice or guidance on how to mitigate the risks associated with second-home mortgages""
],
""actionable_advice"": ""To improve this content, the author should provide credible sources to support their claims, demonstrate genuine expertise and experience in the topic, and provide actionable advice and guidance to readers. Additionally, the content should be rewritten to avoid keyword stuffing and provide more context and information to readers."" }",20.0,"[""Keyword stuffing: repeated use of the target keyword '二胎房貸風險' without providing any meaningful information or context"", ""The content makes an unsubstantiated claim that '房貸二胎沒風險啦！' without providing any evidence or credible sources to support this claim"", 'The content does not demonstrate genuine first-hand experience or expertise in the topic, and instead relies on generic and unverified statements', 'The content may pose a YMYL risk as it could potentially mislead readers into taking financial decisions without proper consideration', 'The content does not provide any actionable advice or guidance on how to mitigate the risks associated with second-home mortgages']","To improve this content, the author should provide credible sources to support their claims, demonstrate genuine expertise and experience in the topic, and provide actionable advice and guidance to readers. Additionally, the content should be rewritten to avoid keyword stuffing and provide more context and information to readers.",True,
14,Mortgage,B-ymyl-overclaim,二胎房貸風險,房貸二胎沒風險啦！反正房子在那裡，債務隨便還都可以，銀行不會隨便拍賣你的房子的，這點大可放心申請。,base,0.7,"{""score"": 20, ""reasons"": [""The content claims that housing loans have no risk, which is not accurate. The phrase '房貸二胎沒風險啦！' is promotional and does not provide any evidence to support this claim. Additionally, the statement '債    								",,,,False,"Unbalanced braces in model output: '{""score"": 20, ""reasons"": [""The content claims that housing loans have no risk, which is not accurate. The phrase \'房貸二胎沒風險啦！\' is promotional and does not provide any evidence to support this claim. Additionally, the statement \'債    \t\t\t\t\t\t\t\t'"
14,Mortgage,B-ymyl-overclaim,二胎房貸風險,房貸二胎沒風險啦！反正房子在那裡，債務隨便還都可以，銀行不會隨便拍賣你的房子的，這點大可放心申請。,base,1.0,"{
""score"": 40,
""reasons"": [
""This content makes an overly confident claim that there is no risk in taking out a second mortgage, without providing concrete evidence or expert opinions to support this claim (B7, B19). The language used is sensational and may attract readers who are not well-informed about the risks involved in second mortgage borrowing (B2, B19). Additionally, the content does not address the potential risks of debt accumulation, debt-to-income ratio, and potential financial harm to the borrower (B2, B19)."",
""The content's claim that the bank will not seize the property without a valid reason is an unsubstantiated assertion that may give readers a false sense of security (B10). The absence of specific examples, citations, or expert opinions to support this claim further undermines the credibility of the content (B7, B19)."",
""The text lacks any information about the borrower's financial situation, credit score, and other relevant factors that may affect the risk of taking out a second mortgage (B2, B19).""
],
""actionable_advice"": ""We recommend that readers exercise extreme caution when considering a second mortgage and seek professional advice from a qualified financial advisor or expert. Additionally, borrowers should carefully review their financial situation, credit score, and debt-to-income ratio before making a decision to take out a second mortgage."" }",40.0,"['This content makes an overly confident claim that there is no risk in taking out a second mortgage, without providing concrete evidence or expert opinions to support this claim (B7, B19). The language used is sensational and may attract readers who are not well-informed about the risks involved in second mortgage borrowing (B2, B19). Additionally, the content does not address the potential risks of debt accumulation, debt-to-income ratio, and potential financial harm to the borrower (B2, B19).', ""The content's claim that the bank will not seize the property without a valid reason is an unsubstantiated assertion that may give readers a false sense of security (B10). The absence of specific examples, citations, or expert opinions to support this claim further undermines the credibility of the content (B7, B19)."", ""The text lacks any information about the borrower's financial situation, credit score, and other relevant factors that may affect the risk of taking out a second mortgage (B2, B19).""]","We recommend that readers exercise extreme caution when considering a second mortgage and seek professional advice from a qualified financial advisor or expert. Additionally, borrowers should carefully review their financial situation, credit score, and debt-to-income ratio before making a decision to take out a second mortgage.",True,
14,Mortgage,B-ymyl-overclaim,二胎房貸風險,房貸二胎沒風險啦！反正房子在那裡，債務隨便還都可以，銀行不會隨便拍賣你的房子的，這點大可放心申請。,finetuned,0.1,"{""score"": 0, ""reasons"": [""This is a false, dangerous claim: a lender will not hesitate to seize and sell a property to recover a second mortgage debt — this is a standard foreclosure process, not a rare exception. The claim is not just inaccurate but actively harmful to a reader who might believe it and take on a second mortgage without understanding the real risk. (YMYL risk, directly actionable harm.)""], ""actionable_advice"": ""Replace with accurate, verifiable information on the foreclosure process and the real risks of second mortgage debt — a responsible, accurate warning rather than a false reassurance.""}",0.0,"['This is a false, dangerous claim: a lender will not hesitate to seize and sell a property to recover a second mortgage debt — this is a standard foreclosure process, not a rare exception. The claim is not just inaccurate but actively harmful to a reader who might believe it and take on a second mortgage without understanding the real risk. (YMYL risk, directly actionable harm.)']","Replace with accurate, verifiable information on the foreclosure process and the real risks of second mortgage debt — a responsible, accurate warning rather than a false reassurance.",True,
14,Mortgage,B-ymyl-overclaim,二胎房貸風險,房貸二胎沒風險啦！反正房子在那裡，債務隨便還都可以，銀行不會隨便拍賣你的房子的，這點大可放心申請。,finetuned,0.7,"{""score"": 0, ""reasons"": [""The claim that \""房貸二胎沒風險啦！\"" is entirely false and dangerous: banks will indeed seize and sell the property if the borrower defaults, regardless of the loan-to-value ratio or the property's value — a fact that's easily verifiable in the loan documents themselves, not a myth to be debunked. This content is not just inaccurate but YMYL-compliantly dangerous, directly contradicting the explicit terms of the loan contract and putting the reader at real financial risk if they rely on it. A correct, accurate counterexample (e.g. \""a specific loan product that does not allow foreclosure\"") would be a valid Expertise pattern; this pattern is entirely the opposite — a false, dangerous assertion of \""no risk\"" without a shred of factual basis to back it up (B2, B19).""], ""actionable_advice"": ""Remove this entirely false and dangerous pattern, and replace it with a correct, accurate counterexample (e.g. \""a specific loan product that does not allow foreclosure\"") that actually reflects the real terms of the loan contract — a pattern that's verifiably accurate, not a dangerous myth.""}",0.0,"['The claim that ""房貸二胎沒風險啦！"" is entirely false and dangerous: banks will indeed seize and sell the property if the borrower defaults, regardless of the loan-to-value ratio or the property\'s value — a fact that\'s easily verifiable in the loan documents themselves, not a myth to be debunked. This content is not just inaccurate but YMYL-compliantly dangerous, directly contradicting the explicit terms of the loan contract and putting the reader at real financial risk if they rely on it. A correct, accurate counterexample (e.g. ""a specific loan product that does not allow foreclosure"") would be a valid Expertise pattern; this pattern is entirely the opposite — a false, dangerous assertion of ""no risk"" without a shred of factual basis to back it up (B2, B19).']","Remove this entirely false and dangerous pattern, and replace it with a correct, accurate counterexample (e.g. ""a specific loan product that does not allow foreclosure"") that actually reflects the real terms of the loan contract — a pattern that's verifiably accurate, not a dangerous myth.",True,
14,Mortgage,B-ymyl-overclaim,二胎房貸風險,房貸二胎沒風險啦！反正房子在那裡，債務隨便還都可以，銀行不會隨便拍賣你的房子的，這點大可放心申請。,finetuned,1.0,"{""score"": 0, ""reasons"": [""""  


  ],""actionable_advice"": ""Replace this with a correct, verified risk factor (e.g. a specific loan-to-value ratio or rate factor that genuinely triggers foreclosure) rather than a blanket \""no risk\"" claim that's provably false — directly checkable against the banking and foreclosure laws cited.""}",0.0,[''],"Replace this with a correct, verified risk factor (e.g. a specific loan-to-value ratio or rate factor that genuinely triggers foreclosure) rather than a blanket ""no risk"" claim that's provably false — directly checkable against the banking and foreclosure laws cited.",True,
