id,category,type_tag,keyword,snippet,variant,temperature,raw,score,reasons,actionable_advice,valid_json,validation_error
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,base,0.1,"{
""score"": 60,
""reasons"": [
""Keyword stuffing detected: repeated use of the target keyword \""娛樂城\"" without adding significant value to the content."",
""The content lacks specific, verifiable details about the casino's services, making it seem promotional rather than informative."",
""The EEAT signals are weak, as the content does not demonstrate genuine first-hand experience or expertise in the field.""
],
""actionable_advice"": ""To improve the content, consider adding specific examples of the casino's services, providing verifiable details, and demonstrating genuine expertise or first-hand experience. Additionally, avoid keyword stuffing and focus on providing valuable information to the reader.""
}",60.0,"['Keyword stuffing detected: repeated use of the target keyword ""娛樂城"" without adding significant value to the content.', ""The content lacks specific, verifiable details about the casino's services, making it seem promotional rather than informative."", 'The EEAT signals are weak, as the content does not demonstrate genuine first-hand experience or expertise in the field.']","To improve the content, consider adding specific examples of the casino's services, providing verifiable details, and demonstrating genuine expertise or first-hand experience. Additionally, avoid keyword stuffing and focus on providing valuable information to the reader.",True,
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,base,0.7,"{
""score"": 60,
""reasons"": [
""Claimed to be a luxurious entertainment city, but the interface is indeed impressive, but the PTT review is mixed, especially the slow customer service response time, which is my actual experience after registering."",
""The content does not provide any concrete evidence to support its claims, and the author seems to rely on superficial impressions rather than verifiable facts."",
""No specific, hard-to-fabricate details are provided to demonstrate genuine first-hand experience or expertise."",
""The content does not assess the risk of YMYL compliance, and there is no guarantee language used."",
""Keyword stuffing is detected, as the same phrase '娛樂城' is repeated multiple times without adding any informational value."",
],
""actionable_advice"": ""Provide concrete evidence to support claims, demonstrate genuine first-hand experience or expertise, assess YMYL risk, and avoid keyword stuffing.""
}",,,,False,Illegal trailing comma before end of array: line 8 column 124 (char 748)
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,base,1.0,"{
""score"": 60,
""reasons"": [
""Claimed entertainment city's interface is '華麗', but didn't verify the source; a subjective opinion without concrete evidence."",
""Lack of verifiable specifics about the entertainment city's services; failed to provide concrete details."",
""YMYL risk: the text suggests '註冊' (registration) may lead to financial loss due to the ambiguous mention of '客服回覆速度較慢' (slow customer service response)."",
""EEAT signal: the text appears to be a self-claiming authority, rather than citing credible sources."",
""Keyword stuffing: repeated use of '娛樂城' (entertainment city) without adding substantial information."",
],
""actionable_advice"": ""Provide clear and verifiable information about the entertainment city's services, and avoid making unsubstantiated claims. Verify the accuracy of customer service response times. Use concrete examples and credible sources to demonstrate expertise.""
}",,,,False,Illegal trailing comma before end of array: line 8 column 103 (char 627)
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,finetuned,0.1,"{""score"": 85, ""reasons"": [""Specific, first-hand Experience (PTT review pattern) rather than a generic claim — verifiable, not just asserted."", ""Correctly frames a mixed review (both positive and negative aspects) rather than cherry-picking a single angle.""], ""actionable_advice"": ""Add a specific, concrete example of a real issue (e.g. a specific date/time range for the slow response) to make the Experience claim more concrete and actionable.""}",85.0,"['Specific, first-hand Experience (PTT review pattern) rather than a generic claim — verifiable, not just asserted.', 'Correctly frames a mixed review (both positive and negative aspects) rather than cherry-picking a single angle.']","Add a specific, concrete example of a real issue (e.g. a specific date/time range for the slow response) to make the Experience claim more concrete and actionable.",True,
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,finetuned,0.7,"{""score"": 82, ""reasons"": [""A specific, real platform example with a concrete criticism (customer support response speed) — a genuine first-hand experience pattern (B7) rather than a generic review."", ""The criticism is grounded in a real platform feature (customer support) and a concrete metric (response speed) — not a vague \""bad experience\"" pattern.""], ""actionable_advice"": ""Add a concrete platform name (not just a generic \""娛樂城\"") for maximum specificity — e.g. \""Betway casino (PTT review feedback: slow customer support response speed) — my direct registration experience.""""}",,,,False,"Expecting ',' delimiter: line 1 column 582 (char 581)"
12,Casino,A-legitimate,娛樂城推薦,雖然這家娛樂城介面很華麗，但在 PTT 上的評價兩極，特別是客服回覆速度較慢，這是我實際註冊後最直觀的感受。,finetuned,1.0,"{""score"": 80, ""reasons"": [""Specific, concrete, verifiable first-hand Experience (actual rating, actual platform-specific detail) — the exact sort of concrete checkable detail readers can verify for themselves, rather than hearsay or generic assertion."", ""Accurate YMYL content (no guarantee, no promotional language) — does not overclaim or hide important context (PTT user-review criticism, real-name registration evidence).""], ""actionable_advice"": ""Cite PTT board-link URL for direct access, not just a vague platform-name (concrete verification) — makes the content checkable/verifiable rather than dependent on the author's memory or a generic platform name.""}",80.0,"['Specific, concrete, verifiable first-hand Experience (actual rating, actual platform-specific detail) — the exact sort of concrete checkable detail readers can verify for themselves, rather than hearsay or generic assertion.', 'Accurate YMYL content (no guarantee, no promotional language) — does not overclaim or hide important context (PTT user-review criticism, real-name registration evidence).']","Cite PTT board-link URL for direct access, not just a vague platform-name (concrete verification) — makes the content checkable/verifiable rather than dependent on the author's memory or a generic platform name.",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,base,0.1,"{
""score"": 0,
""reasons"": [
""Keyword stuffing: repeated exact-match keyword use with no informational value (\""關鍵字放在 H1 標籤內重複 20 次\"")"",
""Claim not verified: the text asserts an SEO tactic without providing evidence or credible sources to support it"",
""YMYL risk: the content may mislead readers into believing that a specific SEO technique is effective, potentially causing financial harm""
],
""actionable_advice"": ""Improve the content by providing credible sources to support the claimed SEO technique, and consider rephrasing the content to focus on providing valuable information to readers rather than promoting a specific technique.""
}",0.0,"['Keyword stuffing: repeated exact-match keyword use with no informational value (""關鍵字放在 H1 標籤內重複 20 次"")', 'Claim not verified: the text asserts an SEO tactic without providing evidence or credible sources to support it', 'YMYL risk: the content may mislead readers into believing that a specific SEO technique is effective, potentially causing financial harm']","Improve the content by providing credible sources to support the claimed SEO technique, and consider rephrasing the content to focus on providing valuable information to readers rather than promoting a specific technique.",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,base,0.7,"{
""score"": 20,
""reasons"": [
""Keyword stuffing detected: repeated exact-match keyword use (' 房屋二胎利率' ) without informational value."",
""The content makes an SEO claim ('2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次') without verifying it against actual knowledge."",
""The author lacks transparency about the ranking mechanics and doesn't provide credible evidence to support the claim.""
],
""actionable_advice"": ""Rewrite the content to provide actual value to the reader, and cite credible sources to back up any SEO claims. Avoid keyword stuffing and focus on providing genuine information.""
}",20.0,"[""Keyword stuffing detected: repeated exact-match keyword use (' 房屋二胎利率' ) without informational value."", ""The content makes an SEO claim ('2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次') without verifying it against actual knowledge."", ""The author lacks transparency about the ranking mechanics and doesn't provide credible evidence to support the claim.""]","Rewrite the content to provide actual value to the reader, and cite credible sources to back up any SEO claims. Avoid keyword stuffing and focus on providing genuine information.",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,base,1.0,"{
""score"": 15,
""reasons"": [
""Keyword stuffing: repeated exact-match keyword use with no informational value (\""關鍵字放在 H1 標籤內重複 20 次\"")"",
""Claim verification: the content asserts an SEO tactic without verifying its effectiveness or providing evidence (\""2026 年最有效的 SEO 技巧\"")"",
""Lack of EEAT signals: the content does not demonstrate genuine first-hand Experience or Expertise to support its claims""
],
""actionable_advice"": ""Refine the content to provide verifiable evidence for its SEO claims, avoid keyword stuffing, and demonstrate genuine EEAT signals.""
}",15.0,"['Keyword stuffing: repeated exact-match keyword use with no informational value (""關鍵字放在 H1 標籤內重複 20 次"")', 'Claim verification: the content asserts an SEO tactic without verifying its effectiveness or providing evidence (""2026 年最有效的 SEO 技巧"")', 'Lack of EEAT signals: the content does not demonstrate genuine first-hand Experience or Expertise to support its claims']","Refine the content to provide verifiable evidence for its SEO claims, avoid keyword stuffing, and demonstrate genuine EEAT signals.",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,finetuned,0.1,"{""score"": 0, ""reasons"": [""This is a flat-out false and outdated claim — Google has repeatedly and publicly stated that keyword repetition, especially in H1 tags, is a ranking penalty, not a ranking factor. This is not a legitimate SEO technique, and a reader who follows this advice will actually harm their site's visibility."", ""No credible source or citation is provided to support this claim — it's an unverifiable, potentially harmful pattern presented as a legitimate SEO tactic.""], ""actionable_advice"": ""Remove this content entirely and replace it with a correct, up-to-date, verifiable ranking-factors summary (e.g. content quality, user experience, mobile-friendliness) — this is not a legitimate or accurate SEO claim.""}",0.0,"[""This is a flat-out false and outdated claim — Google has repeatedly and publicly stated that keyword repetition, especially in H1 tags, is a ranking penalty, not a ranking factor. This is not a legitimate SEO technique, and a reader who follows this advice will actually harm their site's visibility."", ""No credible source or citation is provided to support this claim — it's an unverifiable, potentially harmful pattern presented as a legitimate SEO tactic.""]","Remove this content entirely and replace it with a correct, up-to-date, verifiable ranking-factors summary (e.g. content quality, user experience, mobile-friendliness) — this is not a legitimate or accurate SEO claim.",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,finetuned,0.7,"{""score"": 0, ""reasons"": [""This is a completely false and outdated SEO claim (the exact repeated keyword pattern has been a penalty factor since at least 2006). It is not a real SEO technique, and if implemented would actually trigger a manual action penalty."", ""This is not an actionable or useful claim for real SEO practitioners — it is a completely misleading and potentially harmful pattern to recommend.""], ""actionable_advice"": ""Remove this entirely. Replace with accurate, up-to-date, and verifiable SEO guidance (e.g. a legitimate ranking factor pattern, a real technical SEO best practice, or a legitimate ranking signal) that a real practitioner would actually use.""}",0.0,"['This is a completely false and outdated SEO claim (the exact repeated keyword pattern has been a penalty factor since at least 2006). It is not a real SEO technique, and if implemented would actually trigger a manual action penalty.', 'This is not an actionable or useful claim for real SEO practitioners — it is a completely misleading and potentially harmful pattern to recommend.']","Remove this entirely. Replace with accurate, up-to-date, and verifiable SEO guidance (e.g. a legitimate ranking factor pattern, a real technical SEO best practice, or a legitimate ranking signal) that a real practitioner would actually use.",True,
13,Mortgage,C-planted-false-theory,房屋二胎利率,2026 年最有效的 SEO 技巧是將關鍵字放在 H1 標籤內重複 20 次，這能顯著提升網頁的權威性與排名。,finetuned,1.0,"{""score"": 0, ""reasons"": [""The pattern does not exist in real-world SEO best practices (named the year and claim as fictional — it's false, and outdated when written). Violates actual SEO guidelines in multiple ways (keyword-stuffing, repeated exact-match keyword use without context or informational value)."", ""This is a deliberate misinformation pattern — a fake, inaccurate claim that an actual SEO expert would not write.""], ""actionable_advice"": ""Delete and rewrite with actual accurate, verifiable SEO guidance.""}",0.0,"[""The pattern does not exist in real-world SEO best practices (named the year and claim as fictional — it's false, and outdated when written). Violates actual SEO guidelines in multiple ways (keyword-stuffing, repeated exact-match keyword use without context or informational value)."", 'This is a deliberate misinformation pattern — a fake, inaccurate claim that an actual SEO expert would not write.']","Delete and rewrite with actual accurate, verifiable SEO guidance.",True,
14,Mortgage,B-ymyl-overclaim,二胎房貸風險,房貸二胎沒風險啦！反正房子在那裡，債務隨便還都可以，銀行不會隨便拍賣你的房子的，這點大可放心申請。,base,0.1,"{
""score"": 20,
""reasons"": [
""Keyword stuffing: repeated use of the target keyword '二胎房貸風險' without providing any meaningful information."",
""YMYL risk: the content guarantees that the reader can easily repay the mortgage, which is a misleading and potentially harmful claim."",
""EEAT signals: the content lacks specific, verifiable details about the mortgage process and does not demonstrate genuine expertise."",
""SEO claim verification: the content asserts that the bank will not seize the property, which is not verified by any credible source.""
],
""actionable_advice"": ""Improve the content by providing specific, verifiable information about the mortgage process, avoiding keyword stuffing, and verifying any SEO claims made.""
}",20.0,"[""Keyword stuffing: repeated use of the target keyword '二胎房貸風險' without providing any meaningful information."", 'YMYL risk: the content guarantees that the reader can easily repay the mortgage, which is a misleading and potentially harmful claim.', 'EEAT signals: the content lacks specific, verifiable details about the mortgage process and does not demonstrate genuine expertise.', 'SEO claim verification: the content asserts that the bank will not seize the property, which is not verified by any credible source.']","Improve the content by providing specific, verifiable information about the mortgage process, avoiding keyword stuffing, and verifying any SEO claims made.",True,
14,Mortgage,B-ymyl-overclaim,二胎房貸風險,房貸二胎沒風險啦！反正房子在那裡，債務隨便還都可以，銀行不會隨便拍賣你的房子的，這點大可放心申請。,base,0.7,"{
""score"": 20,
""reasons"": [
""Keyword stuffing detected: repeated use of the target keyword '二胎房貸風險' without adding any meaningful value to the content."",
""The content makes an SEO claim ('房貸二胎沒風險啦！') without providing any evidence or context to support it."",
""The content does not demonstrate genuine first-hand experience or expertise in the topic, and instead relies on generic statements."",
""The content may pose a YMYL risk as it encourages readers to apply for a mortgage without providing sufficient information or warnings about the potential risks involved."",
""Actionable advice: Revise the content to provide more context and evidence to support the claims, and to clearly disclose the potential risks associated with taking out a mortgage.""",,,,False,"Unbalanced braces in model output: '{\n""score"": 20,\n""reasons"": [\n""Keyword stuffing detected: repeated use of the target keyword \'二胎房貸風險\' without adding any meaningful value to the content."",\n""The content makes an SEO claim (\'房貸二胎沒風險啦！\') without providing any evidence or context to support it."",\n""The content does not demonstrate genuine first-hand experience or expertise in the topic, and instead relies on generic statements."",\n""The content may pose a YMYL risk as it encourages readers to apply for a mortgage without providing sufficient information or warnings about the potential risks involved."",\n""Actionable advice: Revise the content to provide more context and evidence to support the claims, and to clearly disclose the potential risks associated with taking out a mortgage.""'"
